Sample Name	Model ID	Feature ID	Classification	All Genes
EFM19_BREAST	ACH-000330	EFM19_BREAST_amplicon1_Linear amplification_1	Linear amplification	['C9orf24', 'MYORG']
EFM19_BREAST	ACH-000330	EFM19_BREAST_amplicon2_Linear amplification_1	Linear amplification	['ARHGEF39', 'ATP8B5P', 'C9orf131', 'CA9', 'CCDC107', 'CD72', 'CNTFR-AS1', 'CREB3', 'DNAJB5', 'DNAJB5-DT', 'FAM166B', 'FAM205C', 'FAM214B', 'FANCG', 'GBA2', 'HINT2', 'MSMP', 'NPR2', 'PHF24', 'PIGO', 'RGP1', 'RMRP', 'RUSC2', 'SIT1', 'SPAG8', 'STOML2', 'TESK1', 'TLN1', 'TPM2', 'UNC13B', 'VCP']
EFM19_BREAST	ACH-000330	EFM19_BREAST_amplicon3_ecDNA_1	ecDNA	['ADK', 'AGAP5', 'ANXA11', 'AP3M1', 'ARL3', 'BEND3P3', 'BMS1P21', 'BMS1P4', 'BMS1P4-AGAP5', 'C10orf55', 'CAMK2G', 'CFAP43', 'CHCHD1', 'COL17A1', 'COMTD1', 'DLG5', 'DLG5-AS1', 'DUPD1', 'DUSP13', 'DYDC1', 'DYDC2', 'EIF5AL1', 'FUT11', 'GLUD1P3', 'GSTO1', 'GSTO2', 'KAT6B', 'KCNMA1', 'KCNMA1-AS1', 'KCNMA1-AS2', 'KCNMA1-AS3', 'LRMDA', 'MAT1A', 'MBL1P', 'MYOZ1', 'NDST2', 'NEURL1-AS1', 'NUTM2B', 'NUTM2B-AS1', 'NUTM2E', 'PLAC9', 'PLAU', 'POLR3A', 'PPIF', 'RPS24', 'SAMD8', 'SEC24C', 'SFR1', 'SFTPA1', 'SFTPA2', 'SFTPD', 'SFXN2', 'SH3PXD2A', 'SH3PXD2A-AS1', 'SLK', 'SNORD172', 'STN1', 'SYNPO2L', 'TMEM254', 'TMEM254-AS1', 'TRIM8', 'USP54', 'VCL', 'VDAC2', 'WBP1L', 'ZCCHC24', 'ZMIZ1', 'ZMIZ1-AS1', 'ZNF503', 'ZNF503-AS1', 'ZNF503-AS2', 'ZSWIM8', 'ZSWIM8-AS1']
EFM19_BREAST	ACH-000330	EFM19_BREAST_amplicon4_ecDNA_1	ecDNA	['AKTIP', 'RBL2']
EFM19_BREAST	ACH-000330	EFM19_BREAST_amplicon5_Linear amplification_1	Linear amplification	['PECAM1']
EFM19_BREAST	ACH-000330	EFM19_BREAST_amplicon6_BFB_1	BFB	['BRSK1', 'CCDC106', 'COX6B2', 'DNAAF3', 'EPN1', 'FAM71E2', 'FIZ1', 'HSPBP1', 'IL11', 'ISOC2', 'KMT5C', 'NAT14', 'PPP6R1', 'PTPRH', 'RPL28', 'SBK2', 'SBK3', 'SHISA7', 'SNORD157', 'SSC5D', 'SYT5', 'TMEM150B', 'TMEM190', 'TMEM238', 'TMEM86B', 'TNNI3', 'TNNT1', 'U2AF2', 'UBE2S', 'ZNF524', 'ZNF579', 'ZNF580', 'ZNF581', 'ZNF628', 'ZNF784', 'ZNF865']
EFM19_BREAST	ACH-000330	EFM19_BREAST_amplicon7_Linear amplification_1	Linear amplification	['APCDD1L', 'APCDD1L-DT', 'NPEPL1', 'STX16', 'STX16-NPEPL1']
EFM19_BREAST	ACH-000330	EFM19_BREAST_amplicon8_Linear amplification_1	Linear amplification	['MRGBP', 'NTSR1', 'OGFR', 'OGFR-AS1', 'SLCO4A1', 'SLCO4A1-AS1']
EFM19_BREAST	ACH-000330	EFM19_BREAST_amplicon9_ecDNA_1	ecDNA	['CHRNA4', 'EEF1A2', 'KCNQ2']
EFO21_OVARY	ACH-000308	EFO21_OVARY_amplicon2_Complex non-cyclic_1	Complex non-cyclic	['ACAP2', 'ANKRD18DP', 'APOD', 'ATP13A3', 'ATP13A4', 'ATP13A4-AS1', 'ATP13A5', 'ATP13A5-AS1', 'BDH1', 'CCDC50', 'CEP19', 'CLDN1', 'CLDN16', 'CPN2', 'DLG1', 'DLG1-AS1', 'DPPA2P3', 'FAM157A', 'FAM43A', 'FBXO45', 'FGF12', 'FGF12-AS1', 'FGF12-AS2', 'FYTTD1', 'GMNC', 'GP5', 'HES1', 'IL1RAP', 'IQCG', 'LMLN', 'LMLN-AS1', 'LRCH3', 'LRRC15', 'LSG1', 'MB21D2', 'MELTF', 'MELTF-AS1', 'MGC2889', 'MUC20', 'MUC4', 'NCBP2', 'NCBP2-AS1', 'NCBP2AS2', 'NRROS', 'OPA1', 'OPA1-AS1', 'OSTN', 'OSTN-AS1', 'P3H2', 'P3H2-AS1', 'PAK2', 'PCYT1A', 'PIGX', 'PIGZ', 'PLAAT1', 'PPP1R2', 'PYDC2', 'RNF168', 'RPL35A', 'RUBCN', 'SDHAP1', 'SDHAP2', 'SENP5', 'SLC51A', 'SMCO1', 'SNAR-I', 'TCTEX1D2', 'TFRC', 'TM4SF19', 'TM4SF19-AS1', 'TM4SF19-TCTEX1D2', 'TMEM207', 'TMEM44', 'TMEM44-AS1', 'TNK2', 'TNK2-AS1', 'TP63', 'TPRG1', 'TPRG1-AS2', 'UBXN7', 'UBXN7-AS1', 'UTS2B', 'WDR53', 'XXYLT1', 'XXYLT1-AS1', 'XXYLT1-AS2', 'ZDHHC19']
EFO21_OVARY	ACH-000308	EFO21_OVARY_amplicon3_Linear amplification_1	Linear amplification	['IRF4']
EFO21_OVARY	ACH-000308	EFO21_OVARY_amplicon4_Linear amplification_1	Linear amplification	[]
EFO21_OVARY	ACH-000308	EFO21_OVARY_amplicon7_Complex non-cyclic_1	Complex non-cyclic	[]
EFO21_OVARY	ACH-000308	EFO21_OVARY_amplicon8_Linear amplification_1	Linear amplification	['ABCD1', 'ARHGAP4', 'ATP2B3', 'AVPR2', 'BCAP31', 'BGN', 'CCNQ', 'DUSP9', 'HAUS7', 'HCFC1', 'HCFC1-AS1', 'IDH3G', 'IRAK1', 'L1CAM', 'LCA10', 'MECP2', 'NAA10', 'OPN1LW', 'OPN1MW', 'OPN1MW2', 'OPN1MW3', 'PDZD4', 'PLXNB3', 'PNCK', 'PNMA6E', 'PNMA6F', 'RENBP', 'SLC6A8', 'SRPK3', 'SSR4', 'TEX28', 'TKTL1', 'TMEM187', 'TREX2', 'ZFP92', 'ZNF275']
ES2_OVARY	ACH-000906	ES2_OVARY_amplicon1_ecDNA_1	ecDNA	['ANGPTL5', 'ANO1', 'ARHGAP42', 'BIRC2', 'BIRC3', 'CCND1', 'CEP126', 'CFAP300', 'CTTN', 'DCUN1D5', 'DHCR7', 'DYNC2H1', 'FADD', 'FAM53A', 'FAT3', 'FGF19', 'FGF3', 'FGF4', 'FGFR3', 'FLJ42102', 'KRTAP5-10', 'KRTAP5-11', 'KRTAP5-7', 'KRTAP5-8', 'KRTAP5-9', 'LTO1', 'MMP1', 'MMP10', 'MMP12', 'MMP13', 'MMP20', 'MMP27', 'MMP3', 'MMP7', 'MMP8', 'MYEOV', 'NADSYN1', 'NELFA', 'PGR', 'PGR-AS1', 'PPFIA1', 'SLBP', 'SMIM38', 'SNORD13I', 'TACC3', 'TMEM123', 'TMEM129', 'TPCN2', 'TRPC6', 'WTAPP1', 'YAP1']
ES2_OVARY	ACH-000906	ES2_OVARY_amplicon2_Complex non-cyclic_1	Complex non-cyclic	['OTUB1']
ES2_OVARY	ACH-000906	ES2_OVARY_amplicon3_ecDNA_1	ecDNA	['AGPAT4', 'AGPAT4-IT1']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon10_BFB_1	BFB	['ADAMTS17', 'ALDH1A3', 'ASB7', 'CERS3', 'CERS3-AS1', 'CHSY1', 'LINS1', 'LRRK1', 'OR4F15', 'OR4F6', 'PCSK6', 'PCSK6-AS1', 'PRKXP1', 'SELENOS', 'SNRPA1', 'SPATA41', 'TARS3', 'TM2D3']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon11_Complex non-cyclic_1	Complex non-cyclic	['ALG12', 'BRD1', 'C22orf34', 'CDPF1', 'CELSR1', 'CERK', 'CRELD2', 'GRAMD4', 'GTSE1', 'GTSE1-DT', 'IL17REL', 'MLC1', 'MOV10L1', 'PANX2', 'PIM3', 'PKDREJ', 'PPARA', 'PRR34-AS1', 'SELENOO', 'TAFA5', 'TBC1D22A', 'TBC1D22A-AS1', 'TRABD', 'TRMU', 'TTC38', 'TTLL8', 'WNT7B', 'ZBED4']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon1_Linear amplification_1	Linear amplification	['MCF2L2', 'SNORA63D', 'SNORA63E']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon2_Complex non-cyclic_1	Complex non-cyclic	['IRX1']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon3_Linear amplification_1	Linear amplification	['AK7', 'ASB2', 'ATG2B', 'ATXN3', 'BDKRB1', 'BDKRB2', 'BTBD7', 'C14orf132', 'CALM1', 'CATSPERB', 'CCDC197', 'CCDC88C', 'CHGA', 'CLMN', 'COX8C', 'CPSF2', 'DDX24', 'DGLUCY', 'DICER1', 'DICER1-AS1', 'EFCAB11', 'FAM181A', 'FAM181A-AS1', 'FBLN5', 'FOXN3', 'FOXN3-AS1', 'FOXN3-AS2', 'GLRX5', 'GOLGA5', 'GON7', 'GPR68', 'GSC', 'GSC-DT', 'GSKIP', 'IFI27', 'IFI27L1', 'IFI27L2', 'ITPK1', 'ITPK1-AS1', 'KCNK13', 'LGMN', 'MOAP1', 'NDUFB1', 'NRDE2', 'OTUB2', 'PAPOLA', 'PPP4R3A', 'PPP4R4', 'PRIMA1', 'PSMC1', 'RIN3', 'RPS6KA5', 'SCARNA13', 'SERPINA1', 'SERPINA10', 'SERPINA11', 'SERPINA12', 'SERPINA13P', 'SERPINA2', 'SERPINA3', 'SERPINA4', 'SERPINA5', 'SERPINA6', 'SERPINA9', 'SLC24A4', 'SNHG10', 'SNORA11B', 'SYNE3', 'TC2N', 'TCL1A', 'TCL1B', 'TCL6', 'TDP1', 'TMEM251', 'TRIP11', 'TTC7B', 'TTC8', 'TUNAR', 'UBR7', 'UNC79', 'VRK1']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon4_Complex non-cyclic_1	Complex non-cyclic	['ACTN3', 'ACY3', 'AIP', 'ALDH3B1', 'ALDH3B2', 'ANKRD13D', 'ANO1', 'AP5B1', 'B4GAT1', 'BANF1', 'BBS1', 'BRMS1', 'C11orf24', 'C11orf68', 'C11orf72', 'C11orf80', 'C11orf86', 'CABP2', 'CABP4', 'CARNS1', 'CATSPER1', 'CCDC85B', 'CCDC87', 'CCND1', 'CCS', 'CD248', 'CDC42EP2', 'CDK2AP2', 'CFL1', 'CHKA', 'CLCF1', 'CNIH2', 'CORO1B', 'CPT1A', 'CST6', 'CTSF', 'CTSW', 'CTTN', 'DOC2GP', 'DPF2', 'DPP3', 'DRAP1', 'EFEMP2', 'EHBP1L1', 'EIF1AD', 'FADD', 'FAM86C2P', 'FAM89B', 'FGF19', 'FGF3', 'FGF4', 'FIBP', 'FOSL1', 'FRMD8', 'GAL', 'GAL3ST3', 'GPR152', 'GRK2', 'GSTP1', 'IGHMBP2', 'KAT5', 'KCNK7', 'KDM2A', 'KLC2', 'KMT5B', 'LRFN4', 'LRP5', 'LTBP3', 'LTO1', 'MALAT1', 'MAP3K11', 'MASCRNA', 'MRGPRD', 'MRGPRF', 'MRGPRF-AS1', 'MRPL11', 'MRPL21', 'MUS81', 'MYEOV', 'NDUFS8', 'NDUFV1', 'NEAT1', 'NPAS4', 'NUDT8', 'OVOL1', 'OVOL1-AS1', 'PACS1', 'PC', 'PCNX3', 'PELI3', 'PITPNM1', 'POLD4', 'PPFIA1', 'PPP1CA', 'PPP6R3', 'PTPRCAP', 'RAB1B', 'RAD9A', 'RBM14', 'RBM14-RBM4', 'RBM4', 'RBM4B', 'RCE1', 'RELA', 'RHOD', 'RIN1', 'RNASEH2C', 'RPS6KB2', 'SART1', 'SCYL1', 'SF3B2', 'SHANK2', 'SHANK2-AS1', 'SHANK2-AS3', 'SIPA1', 'SLC25A45', 'SLC29A2', 'SMIM38', 'SNORD13F', 'SNX32', 'SPTBN2', 'SSH3', 'SYT12', 'TALAM1', 'TBC1D10C', 'TBX10', 'TCIRG1', 'TESMIN', 'TIGD3', 'TMEM134', 'TMEM151A', 'TPCN2', 'TSGA10IP', 'UNC93B1', 'YIF1A', 'ZDHHC24', 'ZNRD2', 'ZNRD2-AS1']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon5_Linear amplification_1	Linear amplification	['NCRNA00250', 'ZFAT', 'ZFAT-AS1']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon6_Linear amplification_1	Linear amplification	['AK3', 'CD274', 'CDC37L1', 'CDC37L1-DT', 'ERMP1', 'IL33', 'INSL4', 'INSL6', 'JAK2', 'KIAA2026', 'MLANA', 'PDCD1LG2', 'PLGRKT', 'PLPP6', 'RANBP6', 'RCL1', 'RIC1', 'RLN1', 'RLN2', 'SLC1A1', 'SPATA6L', 'TPD52L3', 'UHRF2']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon7_Linear amplification_1	Linear amplification	['DMAC1', 'PTPRD', 'PTPRD-AS1']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon8_Linear amplification_1	Linear amplification	['ADAMTSL1', 'BNC2', 'BNC2-AS1', 'C9orf92', 'CCDC171', 'CER1', 'CNTLN', 'FREM1', 'LURAP1L', 'LURAP1L-AS1', 'MPDZ', 'NFIB', 'PSIP1', 'PTPRD-AS2', 'SAXO1', 'SH3GL2', 'SNAPC3', 'SNORD137', 'TTC39B', 'TYRP1', 'ZDHHC21']
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT_amplicon9_Complex non-cyclic_1	Complex non-cyclic	['GPHB5', 'PPP2R5E']
FU97_STOMACH	ACH-000633	FU97_STOMACH_amplicon1_Linear amplification_1	Linear amplification	['AADACL3', 'AADACL4', 'AGTRAP', 'ANGPTL7', 'C1orf127', 'C1orf158', 'C1orf167', 'C1orf167-AS1', 'CASZ1', 'CENPS', 'CENPS-CORT', 'CLCN6', 'CLSTN1', 'CORT', 'CTNNBIP1', 'DFFA', 'DHRS3', 'DISP3', 'DRAXIN', 'EXOSC10', 'EXOSC10-AS1', 'FBXO2', 'FBXO44', 'FBXO6', 'H6PD', 'HNRNPCL1', 'KIAA2013', 'KIF1B', 'LNCTAM34A', 'LZIC', 'MAD2L2', 'MASP2', 'MFN2', 'MIIP', 'MTHFR', 'MTOR', 'MTOR-AS1', 'NMNAT1', 'NPPA', 'NPPA-AS1', 'NPPB', 'PEX14', 'PGD', 'PIK3CD', 'PIK3CD-AS1', 'PIK3CD-AS2', 'PLOD1', 'PRAMEF1', 'PRAMEF11', 'PRAMEF12', 'RBP7', 'RNU5E-1', 'RNU6-1', 'RNU6-2', 'RNU6-7', 'RNU6-8', 'RNU6-9', 'SLC25A33', 'SNORA59A', 'SNORA59B', 'SPSB1', 'SRM', 'TARDBP', 'TMEM201', 'TMEM274P', 'TNFRSF1B', 'TNFRSF8', 'UBE4B', 'UBIAD1', 'VPS13D']
FU97_STOMACH	ACH-000633	FU97_STOMACH_amplicon2_ecDNA_1	ecDNA	['TPPP', 'ZDHHC11B']
FU97_STOMACH	ACH-000633	FU97_STOMACH_amplicon4_Complex non-cyclic_1	Complex non-cyclic	['DPH1', 'HIC1', 'INPP5K', 'OVCA2', 'PITPNA', 'PITPNA-AS1', 'PRPF8', 'RILP', 'RPA1', 'RTN4RL1', 'SCARF1', 'SERPINF1', 'SERPINF2', 'SLC43A2', 'SMG6', 'SMYD4', 'TLCD2', 'WDR81']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon10_ecDNA_1	ecDNA	['C19orf12', 'CCNE1', 'PLEKHF1', 'POP4', 'URI1', 'VSTM2B']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon11_ecDNA_1	ecDNA	['RBM39']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon11_ecDNA_2	ecDNA	['AHCY', 'ASIP', 'DYNLRB1', 'EIF2S2', 'ITCH', 'MAP1LC3A', 'NCOA6', 'PIGU', 'RALY', 'RALY-AS1', 'TP53INP2']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon1_Complex non-cyclic_1	Complex non-cyclic	['ACTRT3', 'GPR160', 'LRRC31', 'LRRC34', 'LRRIQ4', 'MECOM', 'MECOM-AS1', 'MYNN', 'SAMD7', 'SEC62', 'TERC']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon2_ecDNA_1	ecDNA	['ACOX1', 'CASKIN2', 'CDK3', 'DBN1', 'DDX41', 'DOK3', 'EIF4E1B', 'EVPL', 'F12', 'FAM193B', 'FBF1', 'FBXO45', 'FGFR4', 'GALK1', 'GGA3', 'GPRIN1', 'GRB2', 'GRK6', 'H3-3B', 'HK3', 'ITGB4', 'LLGL2', 'LMAN2', 'MIF4GD', 'MRPL38', 'MRPS7', 'MUC20', 'MUC4', 'MXD3', 'MYO15B', 'NSD1', 'PCYT1A', 'PDLIM7', 'PFN3', 'PRELID1', 'PRR7', 'PRR7-AS1', 'RAB24', 'RECQL5', 'RGS14', 'RNF168', 'SAP30BP', 'SDHAP1', 'SDHAP2', 'SLC25A19', 'SLC34A1', 'SLC51A', 'SMCO1', 'SMIM5', 'SMIM6', 'SNCB', 'SRP68', 'TCTEX1D2', 'TEN1', 'TEN1-CDK3', 'TFRC', 'TM4SF19', 'TM4SF19-AS1', 'TM4SF19-TCTEX1D2', 'TMED9', 'TMEM94', 'TNK2', 'TNK2-AS1', 'TRIM47', 'TRIM65', 'TSEN54', 'TSPAN17', 'UBXN7', 'UBXN7-AS1', 'UIMC1', 'UNC13D', 'UNC5A', 'UNK', 'WBP2', 'WDR53', 'ZDHHC19', 'ZNF346']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon3_Linear amplification_1	Linear amplification	['BICDL2', 'CASP16P', 'CLDN6', 'CLDN9', 'FLYWCH1', 'FLYWCH2', 'HCFC1R1', 'IL32', 'KREMEN2', 'MMP25', 'MMP25-AS1', 'OR1F1', 'PAQR4', 'PKMYT1', 'PRSS21', 'PRSS22', 'PRSS30P', 'THOC6', 'TNFRSF12A', 'ZG16B', 'ZNF205', 'ZNF205-AS1', 'ZNF213', 'ZNF213-AS1', 'ZSCAN10']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon4_Complex non-cyclic_1	Complex non-cyclic	['CYC1', 'EXOSC4', 'GPAA1', 'GRINA', 'HGH1', 'MAF1', 'MROH1', 'OPLAH', 'PARP10', 'PLEC', 'SHARPIN', 'SMPD5', 'SPATC1', 'WDR97']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon5_ecDNA_1	ecDNA	['CASC11', 'MYC', 'PVT1', 'TMEM75']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon7_Linear amplification_1	Linear amplification	['PLAAT5']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon8_ecDNA_1	ecDNA	['ASB2', 'CCDC197', 'DDX24', 'FAM181A', 'FAM181A-AS1', 'IFI27', 'IFI27L1', 'IFI27L2', 'OTUB2', 'PPP4R4', 'SERPINA1', 'SERPINA10', 'SERPINA11', 'SERPINA12', 'SERPINA13P', 'SERPINA2', 'SERPINA3', 'SERPINA4', 'SERPINA5', 'SERPINA6', 'SERPINA9']
FUOV1_OVARY	ACH-000574	FUOV1_OVARY_amplicon9_ecDNA_1	ecDNA	['ACBD4', 'ADAM11', 'C1QL1', 'CCDC103', 'CCDC43', 'DBF4B', 'DCAKD', 'EFTUD2', 'FAM187A', 'FZD2', 'GFAP', 'GJC1', 'HIGD1B', 'KIF18B', 'MEIOC', 'NMT1', 'PLCD3']
G361_SKIN	ACH-000572	G361_SKIN_amplicon1_Linear amplification_1	Linear amplification	['ANKRD36BP1']
GB1_CENTRAL_NERVOUS_SYSTEM	ACH-000738	GB1_CENTRAL_NERVOUS_SYSTEM_amplicon1_ecDNA_1	ecDNA	['GPR182', 'LRIG3', 'LRP1', 'LRP1-AS', 'MYO1A', 'NAB2', 'NEMP1', 'RDH16', 'SDR9C7', 'SLC16A7', 'STAT6', 'TAC3', 'ZBTB39']
GB1_CENTRAL_NERVOUS_SYSTEM	ACH-000738	GB1_CENTRAL_NERVOUS_SYSTEM_amplicon2_Linear amplification_1	Linear amplification	['ASTN2-AS1', 'PAPPA', 'PAPPA-AS1']
GB1_CENTRAL_NERVOUS_SYSTEM	ACH-000738	GB1_CENTRAL_NERVOUS_SYSTEM_amplicon4_Linear amplification_1	Linear amplification	[]
GCIY_STOMACH	ACH-000047	GCIY_STOMACH_amplicon1_ecDNA_1	ecDNA	['DPT']
GCIY_STOMACH	ACH-000047	GCIY_STOMACH_amplicon2_ecDNA_1	ecDNA	['AZIN1', 'AZIN1-AS1', 'CASC11', 'CASC19', 'CASC21', 'CASC8', 'CCAT1', 'GASAL1', 'GRHL2', 'HDDC2', 'MYC', 'NCALD', 'ODF1', 'PCAT2', 'POU5F1B', 'PRNCR1', 'RNF217', 'RNF217-AS1', 'RRM2B', 'TPD52L1', 'UBR5-AS1', 'ZNF706']
GI1_CENTRAL_NERVOUS_SYSTEM	ACH-000756	GI1_CENTRAL_NERVOUS_SYSTEM_amplicon1_ecDNA_1	ecDNA	['AK5', 'FGGY', 'HSD52', 'JUN', 'MYSM1', 'OMA1', 'PIGK', 'TACSTD2', 'ZZZ3']
GI1_CENTRAL_NERVOUS_SYSTEM	ACH-000756	GI1_CENTRAL_NERVOUS_SYSTEM_amplicon2_ecDNA_1	ecDNA	['BRD9', 'CEP72', 'CLPTM1L', 'CTD-2194D22.4', 'CTD-3080P12.3', 'EXOC3', 'EXOC3-AS1', 'IRX4', 'LPCAT1', 'MRPL36', 'NDUFS6', 'NKD2', 'PP7080', 'SDHAP3', 'SLC12A7', 'SLC6A18', 'SLC6A19', 'SLC6A3', 'SLC9A3', 'SLC9A3-AS1', 'TERT', 'TPPP', 'TRIP13', 'ZDHHC11', 'ZDHHC11B']
GI1_CENTRAL_NERVOUS_SYSTEM	ACH-000756	GI1_CENTRAL_NERVOUS_SYSTEM_amplicon4_Linear amplification_1	Linear amplification	[]
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon10_ecDNA_1	ecDNA	['FRMD6']
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon11_Linear amplification_1	Linear amplification	['DSC1', 'DSC2', 'DSC3', 'DSCAS', 'DSG1', 'DSG1-AS1', 'DSG2', 'DSG2-AS1', 'DSG3', 'DSG4']
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon12_Linear amplification_1	Linear amplification	['ASXL3', 'CCDC178', 'KLHL14']
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon1_Linear amplification_1	Linear amplification	[]
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon2_ecDNA_1	ecDNA	['PPP2R3B', 'SHOX']
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon2_ecDNA_2	ecDNA	['KCNJ12']
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon3_Linear amplification_1	Linear amplification	[]
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon4_ecDNA_1	ecDNA	[]
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon5_Linear amplification_1	Linear amplification	['CYC1', 'EPPK1', 'EXOSC4', 'FAM83H', 'FAM83H-AS1', 'GPAA1', 'GRINA', 'HGH1', 'MAF1', 'MROH1', 'NRBP2', 'OPLAH', 'PARP10', 'PLEC', 'PUF60', 'SCRIB', 'SHARPIN', 'SMPD5', 'SPATC1', 'WDR97']
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon6_BFB_1	BFB	['APIP', 'C11orf74', 'CD44', 'COMMD9', 'FJX1', 'LDLRAD3', 'LRRC4C', 'PAMR1', 'PDHX', 'PRR5L', 'RAG1', 'RAG2', 'SLC1A2', 'SNORD164', 'TRAF6', 'TRIM44']
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon7_Complex non-cyclic_1	Complex non-cyclic	[]
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon8_Complex non-cyclic_1	Complex non-cyclic	['EPG5', 'PSTPIP2', 'SIGLEC15', 'SLC14A1', 'SLC14A2-AS1']
HARA_LUNG	ACH-000843	HARA_LUNG_amplicon9_Complex non-cyclic_1	Complex non-cyclic	['CCDC15', 'ESAM', 'HEPACAM', 'HEPN1', 'MSANTD2', 'NRGN', 'OR10D3', 'OR10G4', 'OR10G6', 'OR10G7', 'OR10G8', 'OR10G9', 'OR10S1', 'OR4D5', 'OR6M1', 'OR6T1', 'OR6X1', 'OR8A1', 'OR8B12', 'OR8B2', 'OR8B3', 'OR8B4', 'OR8B8', 'OR8D1', 'OR8D2', 'OR8D4', 'OR8G1', 'OR8G2P', 'OR8G5', 'PANX3', 'PKNOX2', 'PKNOX2-AS1', 'ROBO3', 'ROBO4', 'SCN3B', 'SIAE', 'SLC37A2', 'SPA17', 'TBRG1', 'TMEM218', 'TMEM225', 'VSIG2', 'VWA5A', 'ZNF202']
HCC1187_BREAST	ACH-000111	HCC1187_BREAST_amplicon1_Complex non-cyclic_1	Complex non-cyclic	['BYSL', 'C6orf132', 'CCND3', 'FOXP4', 'FOXP4-AS1', 'FRS3', 'GUCA1A', 'GUCA1B', 'MDFI', 'MED20', 'MRPS10', 'NCR2', 'PGC', 'PRICKLE4', 'PUM1', 'SNORD103C', 'TAF8', 'TFEB', 'TOMM6', 'USP49']
HCC1187_BREAST	ACH-000111	HCC1187_BREAST_amplicon2_Linear amplification_1	Linear amplification	['RNVU1-17']
HCC1187_BREAST	ACH-000111	HCC1187_BREAST_amplicon4_ecDNA_1	ecDNA	['SNORD137']
HCC1187_BREAST	ACH-000111	HCC1187_BREAST_amplicon5_Linear amplification_1	Linear amplification	['ANXA11', 'DYDC1', 'DYDC2', 'MAT1A', 'NRG3', 'NRG3-AS1', 'PRXL2A', 'SH2D4B', 'TSPAN14']
HCC1187_BREAST	ACH-000111	HCC1187_BREAST_amplicon6_ecDNA_1	ecDNA	['BIVM', 'CCDC168', 'METTL21C', 'POGLUT2', 'TEX30', 'TPP2']
HCC1187_BREAST	ACH-000111	HCC1187_BREAST_amplicon7_ecDNA_1	ecDNA	['ASXL1', 'NOL4L', 'NOL4L-DT']
HCC1419_BREAST	ACH-000277	HCC1419_BREAST_amplicon1_ecDNA_1	ecDNA	['ABRA', 'COX6C', 'DPYS', 'ERICH5', 'KCNS2', 'LAPTM4B', 'LRP12', 'MATN2', 'MTDH', 'NIPAL2', 'OSR2', 'OXR1', 'POP1', 'RIDA', 'RPL30', 'SNORA72', 'SNORD77B', 'STK3', 'VPS13B', 'ZFPM2', 'ZFPM2-AS1']
